"Doctorate :","Employment Type",Experience,"Functional Area","Industry Type","Job Description",Location,"PG :",Role,"Role Category",Skills,"UG :"
,"Full Time, Permanent","10 - 15 years","Data Science & Analytics","IT Services & Consulting","Job description
1)We are looking for research scientists with a strong background on deep learning to develop algorithms for automated machine learning systems.
2)Developed infrastructure and algorithms for malware detection and web classification using Artificial intelligence and machine learning algorithms.
3)Applied various machine learning algorithms to provide sentiment analysis, clustering, classification, named entity extractions, temporal analysis on social-media data.
4)Play a major role in defining, designing, experimenting and evaluating product-focused AI solutions utilizing machine learning methods, deep learning, computer vision and natural language processing.
5)Model complex problems, discover insights, and identify opportunities via the use of statistical, algorithmic, and visualization techniques.
6)Solid knowledge and experience with at least one major deep learning framework (e.g. PyTorch, Tensorflow, MXNet, Caffe/Caffe2, PaddlePaddle).
7)Learn and understand the Development pipeline and operations, associated data and key decisions in order to recognize opportunities for enhancing our development pipeline. Research and apply the latest Artificial Intelligence methodologies to address Development challenges.
8) Advanced research experience on neural networks architecture, neural architecture search.
9) Strong analytical and problem solving skills.
10) Ability to work collaboratively in multi-functional teams.
Role: Data Science & Machine Learning - Other
Industry Type: IT Services & Consulting
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Machine Learning
Education
UG: Any Graduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Artificial Intelligence
PytorchTensorflowMalware AnalysisMxnetCaffeMachine LearningDeep LearningMl",All,nan,"Data Science & Machine Learning - Other","Data Science & Machine Learning","Artificial Intelligence, Pytorch, Tensorflow, Malware Analysis, Mxnet, Caffe, Machine Learning, Deep Learning, Ml, ","Any Graduate"
,"Full Time, Permanent","12 - 18 years","Data Science & Analytics","IT Services & Consulting","Job description
As a Sr
Principal Data Scientist, you are responsible for designing, developing, and implementing methods, processes, and systems to analyze vast and diverse big data sources
Your insights will directly drive actionable strategies and enhancements for our client services and product portfolio
Your expertise will be crucial for mentoring teams, shaping our product strategy, and interacting with our product and service teams
Your key responsibilities will include:
Data Analysis Programming :
Design, develop, and program methods and systems to consolidate and analyze unstructured big data sources.
Interact regularly with product and service teams to identify analytical questions and potential areas of experimentation.
Develop and code software programs, algorithms, and automated processes to cleanse, integrate, and evaluate vast datasets from different sources.
Insight Generation Communication :
Extract meaningful insights from large data and metadata sources.
Interpret and communicate findings from data analyses and experiments to product, service, and business managers, ensuring actionable recommendations.
Mentoring Development :
Lead, guide, and mentor data scientists across the organization, promoting best practices, continuous learning, and professional growth.
Conduct regular workshops, tech talks, and one-on-one mentoring sessions to uplift the skills of the data science team.
Create an environment of collaboration, encouraging cross-functional interactions and shared learnings.
Thought Leadership :
Act as an internal and external thought leader in data analytics, staying updated with leading-edge theories, techniques, and technologies.
Participate in the development of product or group strategies.
Influence internal and external business/regulatory issues, providing expert insights and recommendations.
Project Management Collaboration :
Lead high-visibility, multi-disciplinary project teams or initiatives, ensuring timely delivery and actionable outcomes.
Work closely with management, customers, and vendors to influence decisions and foster collaboration.
Who are you
You have exceptional are a self-driven and systematic worker and share a passion for finding ways to increase efficiency while maintaining the integrity of the data through building tools and leveraging technology. In addition, you have the following:
BS or MS degree in Computer Science, Statistics, or similar field.
12 to 18 years of industry working experience with expertise in data science and analytic methods such as regression, classifiers, clustering, association rules, Bayesian statistics, etc - multiple areas
Proficiency in Python and/or C++, preferably on Linux.
Experience working with deep learning frameworks like PyTorch, TensorFlow, MxNet, ONNX, and Caffe.
Proven track record of successfully leading projects.
Strong mentoring and coaching skills with a demonstrated history of developing junior and mid-level data scientists.
Strong negotiation skills, with a history of influencing senior management and external partners.
Exceptional communication skills with the ability to convey complex topics in a clear and engaging manner.
Role: Data Scientist
Industry Type: IT Services & Consulting
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Machine Learning
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
C++AutomationData analysismetadataLinuxProduct serviceProject managementAnalyticalPython",All,"Any Postgraduate","Data Scientist","Data Science & Machine Learning","C++, Automation, Data analysis, metadata, Linux, Product service, Project management, Analytical, Python, ","Any Graduate"
,"Full Time, Permanent","12 - 18 years","Data Science & Analytics","IT Services & Consulting","Job description
As a Sr Principal Data Scientist, you are responsible for designing, developing, and implementing methods, processes, and systems to analyze vast and diverse big data sources
Your insights will directly drive actionable strategies and enhancements for our client services and product portfolio
Your expertise will be crucial for mentoring teams, shaping our product strategy, and interacting with our product and service teams
Your key responsibilities will include:
Data Analysis & Programming :
Design, develop, and program methods and systems to consolidate and analyze unstructured big data sources.
Interact regularly with product and service teams to identify analytical questions and potential areas of experimentation.
Develop and code software programs, algorithms, and automated processes to cleanse, integrate, and evaluate vast datasets from different sources.
Insight Generation & Communication :
Extract meaningful insights from large data and metadata sources.
Interpret and communicate findings from data analyses and experiments to product, service, and business managers, ensuring actionable recommendations.
Mentoring & Development :
Lead, guide, and mentor data scientists across the organization, promoting best practices, continuous learning, and professional growth.
Conduct regular workshops, tech talks, and one-on-one mentoring sessions to uplift the skills of the data science team.
Create an environment of collaboration, encouraging cross-functional interactions and shared learnings.
Thought Leadership :
Act as an internal and external thought leader in data analytics, staying updated with leading-edge theories, techniques, and technologies.
Participate in the development of product or group strategies.
Influence internal and external business/regulatory issues, providing expert insights and recommendations.
Project Management & Collaboration :
Lead high-visibility, multi-disciplinary project teams or initiatives, ensuring timely delivery and actionable outcomes.
Work closely with management, customers, and vendors to influence decisions and foster collaboration.
Who are you
You have exceptional are a self-driven and systematic worker and share a passion for finding ways to increase efficiency while maintaining the integrity of the data through building tools and leveraging technology
In addition, you have the following:
BS or MS degree in Computer Science, Statistics, or similar field.
12 to 18 years of industry working experience with expertise in data science and analytic methods such as regression, classifiers, clustering, association rules, Bayesian statistics, etc - multiple areas
Proficiency in Python and/or C++, preferably on Linux.
Experience working with deep learning frameworks like PyTorch, TensorFlow, MxNet, ONNX, and Caffe.
Proven track record of successfully leading projects.
Strong mentoring and coaching skills with a demonstrated history of developing junior and mid-level data scientists.
Strong negotiation skills, with a history of influencing senior management and external partners.
Exceptional communication skills with the ability to convey complex topics in a clear and engaging manner
Role: Data Scientist
Industry Type: IT Services & Consulting
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Machine Learning
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
C++AutomationData analysismetadataLinuxProduct serviceProject managementAnalyticalPython",All,"Any Postgraduate","Data Scientist","Data Science & Machine Learning","C++, Automation, Data analysis, metadata, Linux, Product service, Project management, Analytical, Python, ","Any Graduate"
,"Full Time, Permanent","8 - 12 years","Data Science & Analytics","IT Services & Consulting","Job description
Understand customer business needs and guide them to a solution using right Algorithms/Models and AWS AI/ML/GenAI Services and Frameworks.
Develop MLOps (Machine Learning Operations) workflows for data preparation, deployment, monitoring and retraining.
Improve ML models reproducibility, auditing, and performance capabilities.
Collaborate with the sales and service team, as well as partner and customer stakeholders.
Translate business problems into ML problems and create ML solutions to produce desired customer business outcomes.
Develop business KPIs for machine learning model evaluations.
Share best practices through forums such as AWS blogs, white-papers, reference architectures and public-speaking events such as AWS Summit, AWS re:Invent, etc.
Employ customer facing skills to represent AWS well within the customer s environment and drive discussions with technical and business teams.
Identity workarounds for specific issues and corner scenarios observed during migration
Automate solutions for repeatable problems
Develop innovative solutions to complex business and technology problems
Conduct technical sessions for internal teams, partners and customers

BASIC QUALIFICATIONS
- 8+ years of overall experience in a technical position. with 3+ years on any Cloud Platform (AWS, Azure, Google etc).
- 5+ years of experience in technical architecture, design, deployment and operations for AI platforms, standards, protocols and devices.
- 5+ years of experience in predictive modelling and analysis, predictive software development.
- 4+ years professional experience in software development in languages related to ML such as Python, TypeScript and/or R.
- Experience using machine learning libraries, such as scikit-learn, Apache MxNet, PyTorch, and TensorFlow.
- Experience in mentoring junior team members, and guiding them on machine learning and data modeling applications.
PREFERRED QUALIFICATIONS
- Working experience in AI/ML including Deep Learning
Role: Data Science & Machine Learning - Other
Industry Type: IT Services & Consulting
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Machine Learning
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Data modelingArtificial IntelligenceMachine learningprofessional servicesApacheIT operationsOperationsMonitoringLEXPython",All,"Any Postgraduate","Data Science & Machine Learning - Other","Data Science & Machine Learning","Data modeling, Artificial Intelligence, Machine learning, professional services, Apache, IT operations, Operations, Monitoring, LEX, Python, ","Any Graduate"
,"Full Time, Permanent","3 - 5 years","Data Science & Analytics","IT Services & Consulting","Job description
Minimum 3 years of experience in TensorFlow, Scikit-learn, Torch & Keras ML Libraries
Extensive programming experience in Python using object-oriented architecture
Ability to work on projects from scratch
Excellent communication skills
Exceptional mathematical skills
Ability to work with large datasets
Knowledge of Spark MLlib, MXNet, Caffe, H2O ML libraries
Qualification:
MCom or Inter-CA and higher
Role: Data Science & Machine Learning - Other
Industry Type: IT Services & Consulting
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Machine Learning
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
ArchitecturesparkProgrammingPython",All,"Any Postgraduate","Data Science & Machine Learning - Other","Data Science & Machine Learning","Architecture, spark, Programming, Python, ","Any Graduate"
,"Full Time, Permanent","12 - 15 years","Data Science & Analytics","IT Services & Consulting","Job description
We are seeking a highly skilled and experienced Senior Data Scientist to join our dynamic team. As a Senior Data Scientist, you will play a pivotal role in driving our data science initiatives and leveraging cutting-edge technologies to develop innovative solutions. Your expertise in TensorFlow, PyTorch, Hugging Face Transformers, and cloud computing platforms like GCP, AWS, or Azure will be crucial in contributing to our success.
What Youll Do
At least 12 plus years of experience with the last 3 years in data science/ML projects.
Proficiency in machine learning techniques, such as supervised and unsupervised learning, deep learning, and natural language processing
Experience in working with large datasets and parallel computing systems
Familiarity with programming languages such as Python, R, and SQL
Knowledge of data visualization and reporting tools, such as Tableau or Power BI
Ability to write efficient and optimized code
Strong analytical and problem-solving skills
Good communication skills to present and explain complex data models to stakeholders and colleagues.
Experience with specific tools and technologies such as TensorFlow, PyTorch, Hugging Face Transformers, and cloud computing platforms like GCP, AWS or Azure would also be advantageous.
Experience working with the Insurance domain would be a plus
What we are looking for
Bachelors or Masters degree in Computer Science, Statistics, or a related field. A Ph.D. is a plus.
Minimum of 12 years of industry experience in data science or related roles, with a proven track record of delivering successful projects.
Extensive experience with TensorFlow, PyTorch, and Hugging Face Transformers for developing and deploying machine learning and deep learning models.
Strong knowledge of cloud computing platforms such as GCP, AWS, or Azure, including experience with deploying and managing data science solutions in these environments.
Nice to have
Experience with other deep learning frameworks such as Caffe, MXNet, or Keras.
Familiarity with computer vision libraries and frameworks such as OpenCV or PyTorch Geometric.
Knowledge of natural language processing (NLP) techniques, including word embeddings, named entity recognition, and sentiment analysis.

Role: Data Scientist
Industry Type: IT Services & Consulting
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Machine Learning
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Computer scienceCloud computingComputer visionGCPAnalyticalMachine learningdata visualizationReporting toolsSQLPython",All,"Any Postgraduate","Data Scientist","Data Science & Machine Learning","Computer science, Cloud computing, Computer vision, GCP, Analytical, Machine learning, data visualization, Reporting tools, SQL, Python, ","Any Graduate"
,"Full Time, Permanent","3 - 5 years","Data Science & Analytics","IT Services & Consulting","Job description
ReNote AI is a cutting-edge technology company focused on AL/ML solutions, Incubated with T-Hub & AIC. We are seeking a skilled and motivated Computer Vision Developer to join our dynamic team and contribute to the development of innovative solutions in image processing, document management, OCR (Handwritten), and document scanning.

Responsibilities:

Develop and implement computer vision algorithms for image processing and analysis.
Work on OCR (Handwritten) solutions to extract information from images and documents.
Design and optimize document scanning processes for efficient and accurate data capture.
Collaborate with cross-functional teams to integrate computer vision solutions into larger software systems.
Stay updated on the latest advancements in computer vision, image processing, and OCR technologies.
Debug and troubleshoot issues related to computer vision algorithms and implementations.
Utilize C++, Python, OpenCV, TensorFlow, and PyTorch for software development.

Requirements:
Bachelor's or Master's degree in Computer Science, Computer Engineering, or a related field.
3-5 years of hands-on experience in computer vision development.
Proficient in C++ and Python programming languages.
Strong knowledge and practical experience in OpenCV, TensorFlow, and PyTorch.
Expertise in image processing techniques and algorithms.
Experience in developing OCR solutions for handwritten text recognition.
Familiarity with document management systems and document scanning processes.
Ability to collaborate effectively with cross-functional teams.
Strong problem-solving and debugging skills.
Excellent communication skills and the ability to present complex technical concepts to non-technical stakeholders.

Nice to Have:
Experience with deep learning frameworks such as Keras or MXNet.
Familiarity with cloud platforms such as AWS or Azure.
Previous work on projects related to natural language processing (NLP) is a plus.
Knowledge of computer vision applications in robotics or automation.
Role: Computer Vision
Industry Type: IT Services & Consulting
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Machine Learning
Education
UG: Any Graduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
C++OpencvImage ProcessingComputer VisionOCR
Deep Learning",All,nan,"Computer Vision","Data Science & Machine Learning","C++, Opencv, Image Processing, Computer Vision, OCR, Deep Learning, ","Any Graduate"
,"Full Time, Permanent","6 - 11 years","Data Science & Analytics","Software Product","Job description
Degree in Computer Science, Data Science, Statistics
Proven experience as a Data Scientist, with 5 years of practical experience in data analysis and machine learning.
Proficiency in programming languages such as Python, C++ or R, etc .
Strong knowledge of machine learning frameworks and libraries (e.g., TensorFlow, PyTorch, MXNET, GLUON, KERAS).
Experience with data visualization tools (e.g., Tableau, Power BI, Matplotlib).
Proficiency in SQL for data extraction and manipulation.
Experience with big data technologies is a plus.
Knowledge of cloud platforms (e.g., AWS, Azure, Google Cloud) is a plus.
Data Visualization and Reporting:
Create visually compelling data visualizations and dashboards to communicate insights.
Present findings and recommendations to non-technical stakeholders.
Collaborate with data engineers to automate reporting processes.
A/B Testing and Experimentation:
Design and analyze A/B tests to evaluate the impact of changes and interventions.
Make data-driven recommendations for business improvements.
Soft Skills:
Excellent communication skills with the ability to explain complex technical concepts to non-technical stakeholders.
Strong problem-solving skills and the ability to work on complex, unstructured business problems.
Strong leadership skills
Dealing well with ambiguity
Prioritizing needs and delivering results in a dynamic environment.
Highly accountable, takes ownership Capability to work independently in a fast-paced environment
Ability to meet deadlines and work in a time bound environment
Critical Thinker and Problem Solver
High commitment levels and achievement-oriented Team player
Capable of working in an Agile environment using resources such as Jira
Role: Data Scientist
Industry Type: Software Product
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Machine Learning
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
C++Data analysisMachine learningAgileJIRAFinancial servicesSQLPythonData extraction",All,"Any Postgraduate","Data Scientist","Data Science & Machine Learning","C++, Data analysis, Machine learning, Agile, JIRA, Financial services, SQL, Python, Data extraction, ","Any Graduate"
,"Full Time, Permanent","6 - 8 years","Data Science & Analytics","IT Services & Consulting","Job description
1. Ability to implement complexsensor network system/algorithm in computer vision.
2. Good knowledge in Python andC/C++
3. Good Knowledge in Deepstreamand gstreamer
4. Ability to translate businessand functional requirements into working code
5. Ability to work with a largeamount video/image data to train and test computer vision systems.
6. Experience in building andproductizing Machine Learning models.
7. Experience working with deeplearning frameworks like TensorFlow, PyTouch, MxNet, ONNX, and Caffe.
8. Knowledge of GPU programming(CUDA or OpenCL) on GPU accelerator architectures.
9. Experience with camera bring-upand ISP pipeline configuration.
10. Ability to juggle multiplepriorities and make things happen quickly.
11. Good knowledge in conventionalimage processing approaches and opencv
12. Exceptional writing and verbalcommunications skills.
13. Experience in working onopensource projects


Requirements
Technical Skills
1. Strong C/C++ Skills; Exposureto Python
2. Gstreamer Plugin DevelopmentExperience; Exposure to Deepstream
3. Experience with any ofTensorRT, ArmNN, TfLite, Dlib, ONNX Runtime
4. Experience in deploying traineddeep learning models on ARM platform; Porting, Quantization, Pruning
5. Exposure to NVIDIA Jetson andARM Linux Boards
Other skills
1. Ability to translate businessand functional requirements into working code
2. Experience in building andproductize Machine Learning models.
3. Good knowledge in conventionalimage processing approaches and opencv
4. Ability to learn by explorationwithout guidance
5. Ability to juggle multiplepriorities and make things happen quickly.
6. Good communication skills
Role: Computer Vision
Industry Type: IT Services & Consulting
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Machine Learning
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
SANComputer visionC++PDFLinuxImage processingMachine learningSMSPythonLogistics",All,"Any Postgraduate","Computer Vision","Data Science & Machine Learning","SAN, Computer vision, C++, PDF, Linux, Image processing, Machine learning, SMS, Python, Logistics, ","Any Graduate"
,"Full Time, Permanent","5 - 9 years","Data Science & Analytics","IT Services & Consulting","Job description
As a Data Scientist at HiLabs, you will partner closely with a team of stake holders, product managers, and data engineers to solve real problems in healthcare domain
HiLabs is looking for great problem solvers who can tap into the potential of data and deliver scalable and robust data products
Our potential member would work on developing and implementing machine learning algorithms for various HiLabs Products and Solutions
Responsibilities:
Leveraging AI/ML techniques and solutions to identify and mathematically interpret complex healthcare problems.
Deploy and optimize machine learning solutions on massive datasets using big data technologies.
Develop and prototype AI algorithms and software tools.
Implement enhancements to existing algorithmic/deep learning solutions.
Conduct quantitative data analysis using a variety of datasets.
Increase the efficiency and improve the quality of solutions offered.
Understand business use cases and pull the necessary data from various sources to provide key insights to stakeholders. Build and deploy additional functionalities as per client requirements.
Leverage recent advances in machine learning technologies and oversee the team s training.
For Lead/Sr. Data Scientists-Lead a team of Data Scientists, developers as well as clinicians to strategize, design and evaluate AI based solutions to healthcare problems.
Desired Profile
Bachelors Degree/Masters Degree in Computer Science, Mathematics, Statistics, Physics, Electrical Engineering, Computer Engineering or related fields from tier 1 college.
Hands-on Software Development Skills (Scala-Preferred).
Experience or educational courses/projects in Machine Learning, and/or Text Mining Algorithms.
Knowledge of statistical techniques, linear algebra, numerical optimization.
Knowledge of ML theory such as bias variance tradeoff, regularization, loss functions and experienced in A/B testing.
Know all the general best practices of Machine Learning.
Ability to work closely with Domain experts to develop tools/algorithms needed to answer research questions in their studies.
Excellent Communication Skills (with the ability to explain developed tools and ML algorithms to a non-technical audience).
Ability to formulate operational problems in healthcare domain as technical problems that allows for reuse of leading research in the area.
Proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems.
Strong analytical, inferential, critical thinking, and creative problem-solving skills.
Self-starter with ability to work both independently and with a team.
Preferred Qualifications
Experience with Deep Learning Frameworks such as Keras, Tensorflow, PyTorch,Mxnet etc.
Experience with interpretability of deep learning models.
Big Data Skills (Hadoop, Spark, recent deep learning platforms).
Experience with text mining tools and techniques including in areas of summarization, search (e.g. ELK Stack), entity extraction, training set generation (e.g. Snorkel) and anomaly detection.
Expert software development skills including developing and maintaining production quality code
Role: Data Scientist
Industry Type: IT Services & Consulting
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Machine Learning
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Data analysisPrototypeAnalyticalMachine learningSCALAh1bHealthcareData qualityUS healthcare",All,"Any Postgraduate","Data Scientist","Data Science & Machine Learning","Data analysis, Prototype, Analytical, Machine learning, SCALA, h1b, Healthcare, Data quality, US healthcare, ","Any Graduate"
