Skill,KeyWord,Count,Scoring
.net,.net,97,1
.net,.net developer,4,0
.net,.net framework,16,0.129032258
.net,ado.net,7,0.032258065
.net,ajax,10,0.064516129
.net,angularjs,24,0.215053763
.net,asp,17,0.139784946
.net,asp.net,49,0.483870968
.net,asp.net mvc,23,0.204301075
.net,azure,12,0.086021505
.net,c#,86,0.88172043
.net,c#.net,11,0.075268817
.net,css,16,0.129032258
.net,design patterns,11,0.075268817
.net,dot net,6,0.021505376
.net,entity framework,19,0.161290323
.net,full stack,6,0.021505376
.net,html,13,0.096774194
.net,java,46,0.451612903
.net,jquery,39,0.376344086
.net,json,7,0.032258065
.net,linq,13,0.096774194
.net,ms sql server,6,0.021505376
.net,mvc,54,0.537634409
.net,mvvm,5,0.010752688
.net,oops,11,0.075268817
.net,project manager - .net,4,0
.net,sdlc,4,0
.net,software development,6,0.021505376
.net,sql,18,0.150537634
.net,sql server,36,0.344086022
.net,ssrs,5,0.010752688
.net,tfs,4,0
.net,vb.net,7,0.032258065
.net,visual studio,8,0.043010753
.net,wcf,22,0.193548387
.net,web api,5,0.010752688
.net,web development,4,0
.net,web technologies,6,0.021505376
.net,webapi,11,0.075268817
.net,wpf,10,0.064516129
.net,xml,5,0.010752688
3DCC Work,.net,4,0.095238095
3DCC Work,account management,5,0.142857143
3DCC Work,accounting,6,0.19047619
3DCC Work,adobe premiere,3,0.047619048
3DCC Work,advanced excel,2,0
3DCC Work,ajax,2,0
3DCC Work,analytics,5,0.142857143
3DCC Work,angularjs,3,0.047619048
3DCC Work,b2b sales,4,0.095238095
3DCC Work,brand,3,0.047619048
3DCC Work,business development,4,0.095238095
3DCC Work,business development management,3,0.047619048
3DCC Work,c#,4,0.095238095
3DCC Work,communication skills,3,0.047619048
3DCC Work,content development,3,0.047619048
3DCC Work,corporate sales,3,0.047619048
3DCC Work,css,3,0.047619048
3DCC Work,data analytics,4,0.095238095
3DCC Work,data entry,5,0.142857143
3DCC Work,data management,4,0.095238095
3DCC Work,design,3,0.047619048
3DCC Work,design patterns,3,0.047619048
3DCC Work,digital marketing,5,0.142857143
3DCC Work,ecommerce,3,0.047619048
3DCC Work,fabrication,3,0.047619048
3DCC Work,finance,3,0.047619048
3DCC Work,financial reporting,2,0
3DCC Work,flash,2,0
3DCC Work,fmcg sales,4,0.095238095
3DCC Work,form filling,5,0.142857143
3DCC Work,generation,2,0
3DCC Work,google analytics,2,0
3DCC Work,graphic designing,4,0.095238095
3DCC Work,heat treatment,3,0.047619048
3DCC Work,home jobs,5,0.142857143
3DCC Work,html,4,0.095238095
3DCC Work,human resource management,3,0.047619048
3DCC Work,illustrator,4,0.095238095
3DCC Work,instructional design,3,0.047619048
3DCC Work,it project management,3,0.047619048
3DCC Work,java,23,1
3DCC Work,jquery,3,0.047619048
3DCC Work,key account management,4,0.095238095
3DCC Work,marketing,16,0.666666667
3DCC Work,ms sql,2,0
3DCC Work,mysql,5,0.142857143
